Email ID,Response
100,"Subject: Order Confirmation - WHITE HANGING HEART T-LIGHT HOLDER

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 3 unit(s) of WHITE HANGING HEART T-LIGHT HOLDER has been successfully processed. Your items are now being prepared for shipment.

Here are the details of your order for your reference:
- Order Number: [Your Order Number]
- Item: WHITE HANGING HEART T-LIGHT HOLDER"
101,"Subject: Order Confirmation - WHITE METAL LANTERN

Dear [Customer's Name],

We are pleased to inform you that your order for 4 unit(s) of WHITE METAL LANTERN has been successfully processed. Thank you for shopping with us!

Your order details are as follows:
- Product: WHITE METAL LANTERN
- Quantity: 4 units

We will notify you once your order has been shipped. In the meantime, if you have any questions or need further assistance"
102,"Subject: Confirmation of Your Order for CREAM CUPID HEARTS COAT HANGER

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 1 unit(s) of the CREAM CUPID HEARTS COAT HANGER has been successfully processed. Our team is excited to get your item packed and shipped to you as promptly as possible.

Here are the details of your order:
- Item: CREAM CUPID HEARTS COAT"
103,"Subject: Order Confirmation - KNITTED UNION FLAG HOT WATER BOTTLE

Dear [Customer's Name],

Thank you for your recent order with us! We are pleased to inform you that your order for 3 unit(s) of KNITTED UNION FLAG HOT WATER BOTTLE has been successfully processed.

Here are the details of your order:

Order Number: [Order Number]
Product: KNITTED UNION FLAG HOT WATER BOTTLE
Quantity: 3

Your items will be carefully"
104,"Subject: Order Confirmation - Your RED WOOLLY HOTTIE WHITE HEART

Dear [Customer's Name],

Thank you for shopping with us!

This email is to inform you that your order for 1 unit of the RED WOOLLY HOTTIE WHITE HEART has been successfully processed. We are currently preparing your item for shipment, and you will receive a notification with tracking details once your order has been dispatched.

If you have any questions or need further assistance, please do not hesitate to reach out"
105,"Subject: Order Confirmation - SET 7 BABUSHKA NESTING BOXES

Dear [Customer's Name],

Thank you for your order!

We are delighted to inform you that your order for 4 unit(s) of SET 7 BABUSHKA NESTING BOXES has been successfully processed.

Your order details are as follows:
- Product: SET 7 BABUSHKA NESTING BOXES
- Quantity: 4 units

You will receive a notification once your items are shipped"
106,"Subject: Order Confirmation for GLASS STAR FROSTED T-LIGHT HOLDER

Dear [Customer's Name],

Thank you for your purchase!

We are pleased to inform you that your order for 4 unit(s) of the GLASS STAR FROSTED T-LIGHT HOLDER has been successfully processed. Your order details are as follows:

- **Product Name:** GLASS STAR FROSTED T-LIGHT HOLDER
- **Quantity:** 4
- **Order Status:** Successfully Process"
107,"Subject: Your Order Has Been Successfully Processed

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 2 units of the HAND WARMER UNION JACK has been successfully processed. Your items are now being prepared for shipment, and we will notify you once they are on their way.

Order Details:
- Item: HAND WARMER UNION JACK
- Quantity: 2 units

If you have any questions or need further assistance,"
108,"Subject: Order Confirmation - HAND WARMER RED POLKA DOT

Dear [Customer's Name],

Thank you for shopping with us at [Your Company Name]! We are pleased to inform you that your order for 2 unit(s) of the HAND WARMER RED POLKA DOT has been successfully processed.

Order Details:
- Product: HAND WARMER RED POLKA DOT
- Quantity: 2
- Order Number: [Your Order Number]
- Expected Delivery Date: [Expected Delivery"
109,"Subject: Order Confirmation: ASSORTED COLOUR BIRD ORNAMENT

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 1 unit of ASSORTED COLOUR BIRD ORNAMENT has been successfully processed. Your order is now being prepared for shipment, and we will notify you once it has been dispatched.

Order Details:
- Item: ASSORTED COLOUR BIRD ORNAMENT
- Quantity: 1"
110,"Subject: Order Confirmation - POPPY'S PLAYHOUSE BEDROOM

Dear [Customer's Name],

Thank you for your recent purchase from our store!

We are pleased to inform you that your order for 3 unit(s) of POPPY'S PLAYHOUSE BEDROOM has been successfully processed. Our team is currently preparing your items for shipment, and you will receive a notification with tracking details once your order has been dispatched.

If you have any questions or need further assistance, please feel free to reply to this"
111,"Subject: Order Confirmation: POPPY'S PLAYHOUSE KITCHEN

Dear [Customer's Name],

Thank you for your order!

We are pleased to inform you that your order for 2 unit(s) of POPPY'S PLAYHOUSE KITCHEN has been successfully processed.

Order Details:
- Product: POPPY'S PLAYHOUSE KITCHEN
- Quantity: 2 units

Your items will be carefully packaged and shipped soon. You will receive another notification with the tracking details once your order is"
112,"Subject: Order Confirmation - FELTCRAFT PRINCESS CHARLOTTE DOLL

Dear [Customer's Name],

We are delighted to inform you that your order for 1 unit of the FELTCRAFT PRINCESS CHARLOTTE DOLL has been successfully processed.

Thank you for choosing us for your purchase. Your order details are as follows:

- Product: FELTCRAFT PRINCESS CHARLOTTE DOLL
- Quantity: 1 unit

You will receive another email"
113,"Subject: Order Confirmation - IVORY KNITTED MUG COSY

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 4 unit(s) of IVORY KNITTED MUG COSY has been successfully processed. Your items are now being prepared for shipment, and you will receive a notification with tracking details once they are on their way to you.

If you have any questions or need further assistance, please do not hesitate to"
114,"Subject: Order Confirmation - BOX OF 6 ASSORTED COLOUR TEASPOONS

Dear [Customer's Name],

Thank you for shopping with us! We are pleased to inform you that your order for 4 unit(s) of the BOX OF 6 ASSORTED COLOUR TEASPOONS has been successfully processed.

Your order details are as follows:
- Order Number: [Your Order Number]
- Item: BOX OF 6 ASSORTED COLOUR TEASPOONS"
115,"Subject: Order Confirmation - BOX OF VINTAGE JIGSAW BLOCKS

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 5 unit(s) of BOX OF VINTAGE JIGSAW BLOCKS has been successfully processed. Your items are now being prepared for shipment, and you will receive another notification once your order has been dispatched, including tracking information.

We appreciate your business and hope you enjoy your purchase. If"
116,"Subject: Order Confirmation: BOX OF VINTAGE ALPHABET BLOCKS

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 5 unit(s) of BOX OF VINTAGE ALPHABET BLOCKS has been successfully processed. Your items are now being prepared for shipment.

You will receive another email with the tracking information once your order has been dispatched.

If you have any questions or need further assistance, please don't hesitate to contact"
117,"Subject: Confirmation of Your Order for HOME BUILDING BLOCK WORD

Dear [Customer's Name],

We hope this email finds you well!

We are pleased to inform you that your order for 3 units of ""HOME BUILDING BLOCK WORD"" has been successfully processed. Thank you for choosing our products, and we are excited to have the opportunity to serve you.

Here are the details of your order:
- Product: HOME BUILDING BLOCK WORD
- Quantity: 3 units
- Order Number:"
118,"Subject: Order Confirmation: LOVE BUILDING BLOCK WORD

Dear [Customer's Name],

Thank you for your order!

We are pleased to inform you that your order for 3 unit(s) of LOVE BUILDING BLOCK WORD has been successfully processed. Our team is now preparing your items for shipment.

Order Summary:
- Product: LOVE BUILDING BLOCK WORD
- Quantity: 3 units

You will receive another email once your items have been dispatched, which will include the tracking information. If you have"
119,"Subject: Order Confirmation â€“ RECIPE BOX WITH METAL HEART

Dear [Customer's Name],

Thank you for your recent purchase from our store! We are delighted to inform you that your order for 1 unit(s) of the RECIPE BOX WITH METAL HEART has been successfully processed.

Order Details:
- Item: RECIPE BOX WITH METAL HEART
- Quantity: 1
- Order Number: [Your Order Number]

Our team is currently preparing your item for shipment, and you will"
120,"Subject: Order Confirmation - DOORMAT NEW ENGLAND

Dear [Customer's Name],

Thank you for your recent order!

We are pleased to inform you that your order for 4 unit(s) of DOORMAT NEW ENGLAND has been successfully processed. Your order details are as follows:

Order Number: [Your Order Number]
Product: DOORMAT NEW ENGLAND
Quantity: 4 units

We are now preparing your items for shipment and will notify you once your order"
121,"Subject: Order Confirmation - JAM MAKING SET WITH JARS

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 5 unit(s) of the JAM MAKING SET WITH JARS has been successfully processed. Your items are now being prepared for shipment and will be dispatched shortly.

You will receive a shipping confirmation email with tracking details once your order leaves our warehouse, allowing you to monitor the delivery progress.

Should you have any questions or"
122,"Subject: Order Confirmation â€“ RED COAT RACK PARIS FASHION

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 1 unit(s) of the RED COAT RACK PARIS FASHION has been successfully processed. Our team is currently preparing your item for shipment, and you will receive another notification once your order has been dispatched.

Here are the details of your order for your reference:

Order Number: [Your Order Number"
123,"Subject: Your Order Confirmation - YELLOW COAT RACK PARIS FASHION

Dear [Customer's Name],

We are pleased to inform you that your order for 5 unit(s) of YELLOW COAT RACK PARIS FASHION has been successfully processed. Thank you for choosing our store for your purchase!

Your order details are as follows:
- Product: YELLOW COAT RACK PARIS FASHION
- Quantity: 5 units

We will notify you once your items have"
124,"Subject: Your Order Has Been Successfully Processed!

Dear [Customer's Name],

We are delighted to inform you that your order for 4 unit(s) of BLUE COAT RACK PARIS FASHION has been successfully processed.

We greatly appreciate your business and look forward to delivering your items to you promptly. Should you have any questions or need further assistance, please do not hesitate to reach out to our customer service team.

Thank you for shopping with us!

Best regards,

[Your Name]"
125,"Subject: Order Confirmation - BATH BUILDING BLOCK WORD

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 1 unit(s) of BATH BUILDING BLOCK WORD has been successfully processed. You will receive a separate email shortly with the shipping details and tracking information once your item has been dispatched.

If you have any questions or need further assistance, please do not hesitate to contact our customer support team at [Customer Support Email] or"
126,"Subject: Your Order Confirmation â€“ ALARM CLOCK BAKELIKE PINK

Dear [Customer's Name],

Thank you for your purchase! We are pleased to inform you that your order for 2 unit(s) of ALARM CLOCK BAKELIKE PINK has been successfully processed.

Order Details:
- Product: ALARM CLOCK BAKELIKE PINK
- Quantity: 2 units

Your order is now being prepared for shipment. Once your order is on its way, we will"
127,"Subject: Order Confirmation - ALARM CLOCK BAKELIKE RED

Dear [Customer's Name],

Thank you for your recent order!

We are pleased to inform you that your order for 3 unit(s) of ALARM CLOCK BAKELIKE RED has been successfully processed. Our team is now preparing your items for shipment, and you will receive a notification with tracking details once your order has been dispatched.

If you have any questions or need further assistance, please do not hesitate to contact our customer"
128,"Subject: Your Order Confirmation - ALARM CLOCK BAKELIKE GREEN

Dear [Customer's Name],

Thank you for placing your order with us!

We are pleased to inform you that your order for 5 unit(s) of ALARM CLOCK BAKELIKE GREEN has been successfully processed.

Your order details are as follows:

- Item: ALARM CLOCK BAKELIKE GREEN
- Quantity: 5 units

Your items will be dispatched soon, and you will receive an email with the"
129,"Subject: Order Confirmation - PANDA AND BUNNIES STICKER SHEET

Dear [Customer's Name],

Thank you for your order!

We are pleased to inform you that your order for 2 unit(s) of PANDA AND BUNNIES STICKER SHEET has been successfully processed. Your order is now being prepared for shipment.

Order Details:
- Product: PANDA AND BUNNIES STICKER SHEET
- Quantity: 2 units

We will"
130,"Subject: Order Confirmation - Your STARS GIFT TAPE Order

Dear [Customer Name],

We are pleased to inform you that your order for 4 unit(s) of STARS GIFT TAPE has been successfully processed!

Thank you for shopping with us. Your order details are as follows:

- Product: STARS GIFT TAPE
- Quantity: 4 units
- Order Status: Successfully Processed

You will receive a notification with the tracking information once your order has been shipped"
131,"Subject: Order Confirmation: INFLATABLE POLITICAL GLOBE

Dear [Customer's Name],

Thank you for your recent order with [Your Company Name]!

We are pleased to inform you that your order for 5 unit(s) of the INFLATABLE POLITICAL GLOBE has been successfully processed. Your order is now being prepared for shipment.

You can expect to receive a shipping confirmation email with tracking information shortly. In the meantime, if you have any questions or need further"
132,"Subject: Your Order Has Been Successfully Processed!

Dear [Customer's Name],

We are pleased to inform you that your order for 3 unit(s) of the VINTAGE HEADS AND TAILS CARD GAME has been successfully processed! Thank you for choosing [Your Company Name].

Here are the details of your order:
- Product: VINTAGE HEADS AND TAILS CARD GAME
- Quantity: 3 units

You will receive another email with tracking information once your order has"
133,"Subject: Order Confirmation - SET/2 RED RETROSPOT TEA TOWELS

Dear [Customer's Name],

Thank you for your order!

We are pleased to inform you that your order for 1 unit(s) of SET/2 RED RETROSPOT TEA TOWELS has been successfully processed.

You will receive a confirmation email with your tracking details once your order is shipped. Please feel free to contact our customer support team if you have any questions or need further assistance."
134,"Subject: Your Order Has Been Successfully Processed!

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 1 unit(s) of ROUND SNACK BOXES SET OF 4 WOODLAND has been successfully processed. Your items will be prepared for shipment and you will receive a confirmation email with tracking information once your order has been dispatched.

If you have any questions or need further assistance, please don't hesitate to contact our customer service team at"
135,"Subject: Order Confirmation - SPACEBOY LUNCH BOX

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 3 unit(s) of the SPACEBOY LUNCH BOX has been successfully processed. Your order details are as follows:

Order Number: [Your Order Number]
Item(s): 
- SPACEBOY LUNCH BOX x 3 units

We are currently preparing your items for shipment and will notify you once your order has"
136,"Subject: Order Confirmation - LUNCH BOX I LOVE LONDON

Dear [Customer's Name],

We are delighted to inform you that your order for 4 unit(s) of LUNCH BOX I LOVE LONDON has been successfully processed. Thank you for shopping with us!

Here are the details of your order:
- Item: LUNCH BOX I LOVE LONDON
- Quantity: 4
- Order Number: [Your Order Number]
- Processed Date: [Current Date]

You will receive"
137,"Subject: Your Order for 5 Units of CIRCUS PARADE LUNCH BOX has Been Successfully Processed

Dear [Customer's Name],

Thank you for your recent purchase from our store!

We are delighted to inform you that your order for 5 unit(s) of the CIRCUS PARADE LUNCH BOX has been successfully processed. Our team is now in the process of preparing your order for shipment. You will receive another email with your tracking information once your items have been dispatched.

If"
138,"Subject: Confirmation of Your Order: CHARLOTTE BAG DOLLY GIRL DESIGN

Dear [Customer's Name],

We are pleased to inform you that your order for 1 unit(s) of CHARLOTTE BAG DOLLY GIRL DESIGN has been successfully processed. Thank you for shopping with us!

Here are the details of your order:
- Product: CHARLOTTE BAG DOLLY GIRL DESIGN
- Quantity: 1
- Order Number: [Your Order Number]
-"
139,"Subject: Your Order Has Been Successfully Processed!

Dear [Customer's Name],

We are excited to inform you that your order for 3 unit(s) of RED TOADSTOOL LED NIGHT LIGHT has been successfully processed! ðŸŽ‰

Order Details:
- Item: RED TOADSTOOL LED NIGHT LIGHT
- Quantity: 3 units

Your order is now being prepared for shipment, and we will notify you as soon as it has been dispatched. You can expect to receive your tracking information"
140,"Subject: Confirmation of Your Order for SET 2 TEA TOWELS I LOVE LONDON

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 4 unit(s) of SET 2 TEA TOWELS I LOVE LONDON has been successfully processed. Your order details are as follows:

- **Item**: SET 2 TEA TOWELS I LOVE LONDON
- **Quantity**: 4 units"
141,"Subject: Your Order Has Been Successfully Processed!

Dear [Customer's Name],

Thank you for shopping with us!

We are delighted to inform you that your order for 5 unit(s) of VINTAGE SEASIDE JIGSAW PUZZLES has been successfully processed. Your puzzles are currently being prepared for shipment and you will receive a confirmation email with tracking details once they have been dispatched.

If you have any questions or need further assistance, please feel free to reach out to our customer"
142,"Subject: Your Order Confirmation - MINI JIGSAW CIRCUS PARADE

Dear [Customer's Name],

We are pleased to inform you that your order for 4 unit(s) of MINI JIGSAW CIRCUS PARADE has been successfully processed. 

Thank you for shopping with us! Your items will be carefully packed and shipped out shortly. You will receive another email with tracking details once your order has been dispatched.

If you have any questions or need further assistance, feel free"
143,"Subject: Order Confirmation - MINI JIGSAW SPACEBOY

Dear [Customer's Name],

Thank you for your recent purchase!

I am pleased to inform you that your order for 2 unit(s) of MINI JIGSAW SPACEBOY has been successfully processed. We are currently preparing your items for shipment and will notify you once they have been dispatched.

If you have any questions or need further assistance, please do not hesitate to contact our customer service team at [Customer Service Email]"
144,"Subject: Order Confirmation - MINI PAINT SET VINTAGE

Dear [Customer's Name],

We are pleased to inform you that your order for 2 unit(s) of the MINI PAINT SET VINTAGE has been successfully processed. Thank you for choosing to shop with us!

Your order details are as follows:
- Product: MINI PAINT SET VINTAGE
- Quantity: 2 units

You will receive another notification once your items have been shipped, including tracking details to help you"
145,"Subject: Order Confirmation - Your POSTAGE Order has been Processed

Dear [Customer's Name],

We are pleased to inform you that your order for 3 unit(s) of POSTAGE has been successfully processed. We sincerely appreciate your purchase and are committed to ensuring a smooth and satisfactory experience for you.

Here are the details of your order:
- Order Number: [Order Number]
- Item(s): 3 unit(s) of POSTAGE
- Order Date: [Order Date]

You can"
146,"Subject: Order Confirmation - PAPER CHAIN KIT 50'S CHRISTMAS

Dear [Customer Name],

We are pleased to inform you that your order for 5 unit(s) of PAPER CHAIN KIT 50'S CHRISTMAS has been successfully processed. We appreciate your purchase and are excited to be a part of your holiday preparations.

Your order details are as follows:

- **Order Number:** [Your Order Number]
- **Product:** PAPER CHAIN KIT 50'S CHRISTMAS
- **Quantity"
147,"Subject: Order Confirmation - HAND WARMER RED POLKA DOT

Dear [Customer's Name],

Thank you for your recent purchase! We are pleased to inform you that your order for 3 unit(s) of HAND WARMER RED POLKA DOT has been successfully processed.

Your order details are as follows:
- Product: HAND WARMER RED POLKA DOT
- Quantity: 3 units

We are currently preparing your items for shipment and will notify you once your package is on its"
148,"Subject: Order Confirmation - HAND WARMER UNION JACK

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 1 unit(s) of HAND WARMER UNION JACK has been successfully processed. Your order details are as follows:

- **Item:** HAND WARMER UNION JACK
- **Quantity:** 1

We will send you another update once your order has been dispatched. You can expect to receive a shipping confirmation email with"
